,0
600,17212
601,17217
602,111220746
603,111220748
604,111220750
605,17592
606,111220752
607,17587
608,111220754
609,17584
610,111220756
611,111220758
612,111220760
613,111220762
614,111220624
615,111220764
616,17643
617,111220766
618,111220626
619,17641
620,111220768
621,111220628
622,17254
623,17256
624,111220630
625,17258
626,111220632
627,111220634
628,17269
629,111220636
630,17271
631,17273
632,17637
633,17278
634,17635
635,17280
636,111220638
637,17632
638,111220640
639,17286
640,111220778
641,111220780
642,111220782
643,111220784
644,111220786
645,16971
646,111220788
647,111220790
648,111220792
649,111220794
650,16975
651,111220796
652,112892309
653,111220798
654,112892311
655,112892313
656,111220800
657,16981
658,17345
659,16820
660,16822
661,16827
662,16829
663,16847
664,16849
665,16851
666,16857
667,16859
668,16861
669,16868
670,16871
671,16874
672,16881
673,112892315
674,16883
675,16884
676,16890
677,16893
678,16895
679,16900
680,16902
681,16907
682,16926
683,16928
684,16936
685,16937
686,16939
687,124372424
688,16953
689,16958
690,16957
691,16963
692,16964
693,16966
694,16962
695,16965
696,124372428
697,16972
698,16973
699,16974
700,16976
701,16977
702,16978
703,16979
704,16980
705,16982
706,16983
707,16988
708,16989
709,124372436
710,16991
711,16992
712,124372440
713,16998
714,16999
715,17000
716,17003
717,17005
718,17006
719,17007
720,17008
721,17009
722,17010
723,17011
724,17012
725,17014
726,17018
727,17029
728,17030
729,124372452
730,17034
731,17040
732,17041
733,17039
734,17050
735,17051
736,17045
737,17052
738,124372456
739,17059
740,17062
741,17064
742,17060
743,17061
744,17065
745,17070
746,17073
747,17075
748,17076
749,17077
750,124372464
751,17083
752,17084
753,17086
754,17087
755,17088
756,17090
757,17099
758,17100
759,17106
760,17105
761,17104
762,17111
763,17112
764,17110
765,17122
766,17121
767,17116
768,124372468
769,17128
770,17130
771,17118
772,17119
773,17120
774,17136
775,17137
776,17138
777,17140
778,17142
779,17147
780,17149
781,17150
782,17151
783,17152
784,17154
785,17162
786,17163
787,17169
788,17168
789,17167
790,17174
791,17175
792,17173
793,17179
794,17180
795,17181
796,17187
797,17189
798,17191
799,17193
800,17194
801,17195
802,17200
803,17201
804,17202
805,17204
806,17206
807,17211
808,17213
809,17214
810,17215
811,17216
812,17218
813,17227
814,17228
815,17234
816,17233
817,17232
818,17240
819,17239
820,17241
821,17238
822,17245
823,17246
824,17248
825,17247
826,17249
827,17255
828,17190
829,17257
830,17259
831,17260
832,17261
833,17262
834,17263
835,17264
836,17265
837,17270
838,17272
839,17274
840,17279
841,17281
842,17282
843,17283
844,17284
845,17285
846,17287
847,17288
848,17296
849,17297
850,17303
851,17302
852,17301
853,17309
854,17308
855,17310
856,17307
857,17314
858,17315
859,17316
860,17317
861,17323
862,17325
863,17327
864,17332
865,17334
866,17336
867,17337
868,17342
869,17344
870,17346
871,17347
872,17349
873,17350
874,17359
875,17360
876,17365
877,17364
878,17371
879,17370
880,17372
881,17369
882,17376
883,17377
884,17379
885,17378
886,17385
887,17387
888,17389
889,17394
890,17396
891,17398
892,17399
893,17404
894,17405
895,17406
896,17408
897,17409
898,17410
899,17411
900,17413
901,17414
902,17423
903,17422
904,17429
905,17428
906,17430
907,17427
908,17435
909,112892393
910,17434
911,17436
912,17442
913,17444
914,17446
915,17447
916,17448
917,17453
918,17454
919,17456
920,17458
921,17459
922,17464
923,17465
924,17466
925,17468
926,17469
927,17470
928,17471
929,17473
930,17474
931,17483
932,17482
933,17484
934,17490
935,17489
936,17493
937,17488
938,17491
939,17492
940,17498
941,112892405
942,17497
943,17499
944,17505
945,17507
946,17509
947,17510
948,17511
949,17516
950,17517
951,17519
952,17521
953,17522
954,17527
955,17528
956,17530
957,17531
958,17532
959,17533
960,17535
961,17536
962,17545
963,17544
964,17546
965,17552
966,17551
967,17555
968,17550
969,17553
970,17554
971,17560
972,112892417
973,17559
974,17561
975,17567
976,17569
977,17575
978,17576
979,17578
980,17579
981,17585
982,17586
983,17588
984,17589
985,17590
986,17591
987,17593
988,17594
989,17602
990,17608
991,17607
992,17611
993,17606
994,17609
995,17610
996,17615
997,17617
998,17616
999,17618
1000,17619
1001,17625
1002,17627
1003,17633
1004,17634
1005,17636
1006,114403731
1007,17642
1008,17644
1009,17645
1010,17646
1011,17647
1012,17649
1013,127201621
1014,16940
1015,16946
1016,16841
1017,16840
1018,16945
1019,16944
1020,16943
1021,16942
1022,16941
1023,16933
1024,16929
1025,16910
1026,16909
1027,16908
1028,16906
1029,16905
1030,16904
1031,16903
1032,16901
1033,16896
1034,16839
1035,16832
1036,16894
1037,16838
1038,16837
1039,16836
1040,16892
1041,16891
1042,16886
1043,16875
1044,16835
1045,16834
1046,16873
1047,16823
1048,16872
1049,16833
1050,16870
1051,17117
1052,17072
1053,17071
1054,17049
1055,17048
1056,16869
1057,17047
1058,16863
1059,17046
1060,17021
1061,17020
1062,17019
1063,17017
1064,16862
1065,16860
1066,17016
1067,16858
1068,16853
1069,17015
1070,17002
1071,17001
1072,16949
1073,16948
1074,16831
1075,16852
1076,16947
1077,16830
1078,16850
1079,16848
1080,16842
1081,16934
1082,16825
1083,16932
1084,16931
1085,16930
1086,16824
1087,16826
1088,16935
