,acronym,atlas_id,color_hex_triplet,depth,failed,failed_facet,graph_id,graph_order,hemisphere_id,id,name,neuro_name_structure_id,neuro_name_structure_id_path,ontology_id,parent_structure_id,safe_name,sphinx_id,st_level,structure_id_path,structure_name_facet,weight
0,v_r10A,,91D9BF,5,False,734881840,17,2679,3,126652010,"ventricles, r10 alar plate",,,12,126652002,ventricles r10 alar plate,12579,5,/15564/126651558/126651782/126651938/126652002/126652010/,2097465653,8390
1,r4B,,7E4FCC,5,False,734881840,17,1781,3,17182,r4 basal plate,,,12,17156,r4 basal plate,11681,5,/15564/15565/16808/17092/17156/17182/,448744973,8390
2,v_SpA,,EBE3D5,3,False,734881840,17,2689,3,126652050,"ventricles, SpC alar plate",,,12,126652042,ventricles SpC alar plate,12589,5,/15564/126651558/126652042/126652050/,513821617,8390
3,v_r4A,,9E63FF,5,False,734881840,17,2647,3,126651882,"ventricles, r4 alar plate",,,12,126651874,ventricles r4 alar plate,12547,5,/15564/126651558/126651782/126651850/126651874/126651882/,1093371129,8390
4,POR,,C86A39,6,False,734881840,17,6,3,15570,preoptic roof plate,,,12,15569,preoptic roof plate,9906,5,/15564/15565/15566/15567/15568/15569/15570/,3689428142,8390
5,SpB,,D4CCC0,3,False,734881840,17,2440,3,17692,SpC basal plate (anterior horn),,,12,17651,SpC basal plate (anterior horn),12340,5,/15564/15565/17651/17692/,3846494007,8390
6,v_p3B,,CCC383,6,False,734881840,17,2591,3,126651658,"ventricles, basal plate of p3",,,12,126651654,ventricles basal plate of p3,12491,5,/15564/126651558/126651562/126651634/126651638/126651654/126651658/,2379145750,8390
7,v_r7A,,12D9B9,5,False,734881840,17,2664,3,126651950,"ventricles, r7 alar plate",,,12,126651942,ventricles r7 alar plate,12564,5,/15564/126651558/126651782/126651938/126651942/126651950/,917853705,8390
8,r3F,,682EB3,5,False,734881840,17,1735,3,17155,r3 floor plate,,,12,17093,r3 floor plate,11635,5,/15564/15565/16808/17092/17093/17155/,1249178787,8390
9,r10F,,669886,5,False,734881840,17,2316,3,17595,r10 floor plate,,,12,17538,r10 floor plate,12216,5,/15564/15565/16808/17352/17538/17595/,1658084186,8390
10,v_r3A,,9442FF,5,False,734881840,17,2642,3,126651862,"ventricles, r3 alar plate",,,12,126651854,ventricles r3 alar plate,12542,5,/15564/126651558/126651782/126651850/126651854/126651862/,900951414,8390
11,THyA,,A8663A,6,False,734881840,17,61,3,15623,alar part of terminal hypothalamus,,,12,15622,alar part of terminal hypothalamus,9961,5,/15564/15565/15566/15567/15568/15622/15623/,2600479877,8390
12,r1R,,F5B5FF,5,False,734881840,17,1432,3,16916,r1 roof plate,,,12,16915,r1 roof plate,11332,5,/15564/15565/16808/16809/16915/16916/,4229402521,8390
13,v_isA,,EA37FF,5,False,734881840,17,2626,3,126651798,"ventricles, isthmic alar plate",,,12,126651790,ventricles isthmic alar plate,12526,5,/15564/126651558/126651782/126651786/126651790/126651798/,3956892064,8390
14,p2R,,FEF3A8,6,False,734881840,17,846,3,16377,roof plate of p2 (epithalamic roofplate),,,12,16376,roof plate of p2 (epithalamic roofplate),10746,5,/15564/15565/15566/16308/16375/16376/16377/,1928168571,8390
15,r4F,,6F45B3,5,False,734881840,17,1819,3,17219,r4 floor plate,,,12,17156,r4 floor plate,11719,5,/15564/15565/16808/17092/17156/17219/,923267835,8390
16,v_r11B,,89AE99,5,False,734881840,17,2685,3,126652034,"ventricles, r11 basal plate",,,12,126652022,ventricles r11 basal plate,12585,5,/15564/126651558/126651782/126651938/126652022/126652034/,3925288340,8390
17,r7B,,0EAE94,5,False,734881840,17,2042,3,17380,r7 basal plate,,,12,17353,r7 basal plate,11942,5,/15564/15565/16808/17352/17353/17380/,2809471683,8390
18,p1R,,FFEB73,6,False,734881840,17,986,3,16511,roof plate of p1,,,12,16510,roof plate of p1,10886,5,/15564/15565/15566/16308/16509/16510/16511/,100602734,8390
19,v_r11R,,CFE9DA,5,False,734881840,17,2683,3,126652026,"ventricles, r11 roof plate",,,12,126652022,ventricles r11 roof plate,12583,5,/15564/126651558/126651782/126651938/126652022/126652026/,2511219099,8390
20,v_THyA,,A8663A,6,False,734881840,17,2574,3,126651590,"ventricles, alar part of terminal hypothalamus",,,12,126651586,ventricles alar part of terminal hypothalamus,12474,5,/15564/126651558/126651562/126651566/126651570/126651586/126651590/,1200307508,8390
21,v_p1F,,B3A019,6,False,734881840,17,2606,3,126651718,"ventricles, floor plate of p1",,,12,126651710,ventricles floor plate of p1,12506,5,/15564/126651558/126651562/126651634/126651694/126651710/126651718/,2641309677,8390
22,p1A,,FFE524,6,False,734881840,17,994,3,16519,alar plate of p1,,,12,16510,alar plate of p1,10894,5,/15564/15565/15566/16308/16509/16510/16519/,1682467511,8390
23,r1B,,BE4ACC,5,False,734881840,17,1495,3,16967,r1 basal plate,,,12,16915,r1 basal plate,11395,5,/15564/15565/16808/16809/16915/16967/,126942494,8390
24,v_r9B,,5EAE99,5,False,734881840,17,2675,3,126651994,"ventricles, r9 basal plate",,,12,126651982,ventricles r9 basal plate,12575,5,/15564/126651558/126651782/126651938/126651982/126651994/,3785571769,8390
25,m1B,,128F12,5,False,734881840,17,1213,3,16726,basal plate of m1,,,12,16725,basal plate of m1,11113,5,/15564/15565/16649/16650/16725/16726/,1201835314,8390
26,m2B,,00A700,5,False,734881840,17,1286,3,16791,m2 basal plate,,,12,16790,m2 basal plate,11186,5,/15564/15565/16649/16751/16790/16791/,2323388746,8390
27,v_p3F,,A69F6B,6,False,734881840,17,2592,3,126651662,"ventricles, floor plate of p3",,,12,126651654,ventricles floor plate of p3,12492,5,/15564/126651558/126651562/126651634/126651638/126651654/126651662/,1935756993,8390
28,v_r11A,,BFD9BF,5,False,734881840,17,2684,3,126652030,"ventricles, r11 alar plate",,,12,126652022,ventricles r11 alar plate,12584,5,/15564/126651558/126651782/126651938/126652022/126652030/,3869345114,8390
29,p3F,,A69F6B,6,False,734881840,17,837,3,16368,floor plate of p3,,,12,16352,floor plate of p3,10737,5,/15564/15565/15566/16308/16309/16352/16368/,2825858261,8390
30,r5F,,2775B3,5,False,734881840,17,1911,3,17289,r5 floor plate,,,12,17221,r5 floor plate,11811,5,/15564/15565/16808/17220/17221/17289/,3935382398,8390
31,v_p2F,,B3A646,6,False,734881840,17,2599,3,126651690,"ventricles, floor plate of p2",,,12,126651682,ventricles floor plate of p2,12499,5,/15564/126651558/126651562/126651634/126651666/126651682/126651690/,73825879,8390
32,v_r10R,,ABE2CE,5,False,734881840,17,2678,3,126652006,"ventricles, r10 roof plate",,,12,126652002,ventricles r10 roof plate,12578,5,/15564/126651558/126651782/126651938/126652002/126652006/,235628020,8390
33,isA,,EA37FF,5,False,734881840,17,1317,3,16813,isthmic alar plate,,,12,16810,isthmic alar plate,11217,5,/15564/15565/16808/16809/16810/16813/,4057512895,8390
34,r9F,,529886,5,False,734881840,17,2239,3,17537,r9 floor plate,,,12,17476,r9 floor plate,12139,5,/15564/15565/16808/17352/17476/17537/,1881903749,8390
35,v_p1B,,CCB71D,6,False,734881840,17,2605,3,126651714,"ventricles, basal plate of p1",,,12,126651710,ventricles basal plate of p1,12505,5,/15564/126651558/126651562/126651634/126651694/126651710/126651714/,1673560890,8390
36,p1B,,CCB71D,6,False,734881840,17,1106,3,16624,basal plate of p1,,,12,16623,basal plate of p1,11006,5,/15564/15565/15566/16308/16509/16623/16624/,3100565806,8390
37,r3R,,B378FF,5,False,734881840,17,1657,3,17094,r3 roof plate,,,12,17093,r3 roof plate,11557,5,/15564/15565/16808/17092/17093/17094/,271323398,8390
38,v_r9F,,529886,5,False,734881840,17,2676,3,126651998,"ventricles, r9 floor plate",,,12,126651982,ventricles r9 floor plate,12576,5,/15564/126651558/126651782/126651938/126651982/126651998/,3424354639,8390
