,acronym,acronym_path,color,depth,id,name,st_order,structure_graph_id,structure_id,structure_id_path
70,r3A,"{mouse,NP,H,PH,r3,r3A}",9442FF,5,11558,r3 alar plate,1658,17,17095,"{15564,15565,16808,17092,17093,17095}"
73,r7R,"{mouse,NP,H,MH,r7,r7R}",6EE8D4,5,11902,r7 roof plate,2002,17,17354,"{15564,15565,16808,17352,17353,17354}"
74,p3A,"{mouse,NP,F,D,p3,PTh,p3A}",FFF4A4,6,10680,alar plate of p3 (alar prethalamus),780,17,16313,"{15564,15565,15566,16308,16309,16310,16313}"
79,r6A,"{mouse,NP,H,PMH,r6,r6A}",5DB8FF,5,11819,r6 alar plate,1919,17,17292,"{15564,15565,16808,17220,17290,17292}"
85,r2F,"{mouse,NP,H,PPH,r2,r2F}",A75AB3,5,11549,r2 floor plate,1649,17,17091,"{15564,15565,16808,16809,17023,17091}"
89,m2F,"{mouse,NP,M,m2,PIsTg,m2F}",449F44,5,11200,m2 floor plate,1300,17,16805,"{15564,15565,16649,16751,16790,16805}"
90,r11B,"{mouse,NP,H,MH,r11,r11B}",89AE99,5,12257,r11 basal plate,2357,17,17620,"{15564,15565,16808,17352,17596,17620}"
91,p3F,"{mouse,NP,F,D,p3,PThTg,p3F}",A69F6B,6,10737,floor plate of p3,837,17,16368,"{15564,15565,15566,16308,16309,16352,16368}"
96,TelR,"{mouse,NP,F,SP,CSP,Tel,TelR}",FAB17C,6,10078,roof plate of evaginated telencephalic vesicle,178,17,15740,"{15564,15565,15566,15567,15738,15739,15740}"
97,r4R,"{mouse,NP,H,PH,r4,r4R}",BA90FF,5,11642,r4 roof plate,1742,17,17157,"{15564,15565,16808,17092,17156,17157}"
104,r1R,"{mouse,NP,H,PPH,r1,r1R}",F5B5FF,5,11332,r1 roof plate,1432,17,16916,"{15564,15565,16808,16809,16915,16916}"
106,r9F,"{mouse,NP,H,MH,r9,r9F}",529886,5,12139,r9 floor plate,2239,17,17537,"{15564,15565,16808,17352,17476,17537}"
108,p3B,"{mouse,NP,F,D,p3,PThTg,p3B}",CCC383,6,10721,basal plate of p3,821,17,16353,"{15564,15565,15566,16308,16309,16352,16353}"
110,p1R,"{mouse,NP,F,D,p1,Pt,p1R}",FFEB73,6,10886,roof plate of p1,986,17,16511,"{15564,15565,15566,16308,16509,16510,16511}"
114,p2A,"{mouse,NP,F,D,p2,Th,p2A}",FFED64,6,10753,alar plate of p2 (alar thalamus),853,17,16382,"{15564,15565,15566,16308,16375,16376,16382}"
119,r4B,"{mouse,NP,H,PH,r4,r4B}",7E4FCC,5,11681,r4 basal plate,1781,17,17182,"{15564,15565,16808,17092,17156,17182}"
120,p1B,"{mouse,NP,F,D,p1,PtTg,p1B}",CCB71D,6,11006,basal plate of p1,1106,17,16624,"{15564,15565,15566,16308,16509,16623,16624}"
122,THyB,"{mouse,NP,F,SP,RSP,THy,THyB}",86522E,6,10004,basal part of terminal hypothalamus,104,17,15666,"{15564,15565,15566,15567,15568,15622,15666}"
124,p3R,"{mouse,NP,F,D,p3,PTh,p3R}",FFF9C7,6,10676,roof plate of p3,776,17,16311,"{15564,15565,15566,16308,16309,16310,16311}"
125,r5B,"{mouse,NP,H,PMH,r5,r5B}",2C86CC,5,11769,r5 basal plate,1869,17,17250,"{15564,15565,16808,17220,17221,17250}"
126,r6R,"{mouse,NP,H,PMH,r6,r6R}",8BCCFF,5,11818,r6 roof plate,1918,17,17291,"{15564,15565,16808,17220,17290,17291}"
128,r3F,"{mouse,NP,H,PH,r3,r3F}",682EB3,5,11635,r3 floor plate,1735,17,17155,"{15564,15565,16808,17092,17093,17155}"
131,r11F,"{mouse,NP,H,MH,r11,r11F}",789886,5,12291,r11 floor plate,2391,17,17650,"{15564,15565,16808,17352,17596,17650}"
133,r7F,"{mouse,NP,H,MH,r7,r7F}",0D9882,5,11979,r7 floor plate,2079,17,17415,"{15564,15565,16808,17352,17353,17415}"
135,r7B,"{mouse,NP,H,MH,r7,r7B}",0EAE94,5,11942,r7 basal plate,2042,17,17380,"{15564,15565,16808,17352,17353,17380}"
138,r10F,"{mouse,NP,H,MH,r10,r10F}",669886,5,12216,r10 floor plate,2316,17,17595,"{15564,15565,16808,17352,17538,17595}"
141,r5F,"{mouse,NP,H,PMH,r5,r5F}",2775B3,5,11811,r5 floor plate,1911,17,17289,"{15564,15565,16808,17220,17221,17289}"
143,m1B,"{mouse,NP,M,m1,MTg,m1B}",128F12,5,11113,basal plate of m1,1213,17,16726,"{15564,15565,16649,16650,16725,16726}"
149,m1F,"{mouse,NP,M,m1,MTg,m1F}",378A37,5,11131,floor plate of m1,1231,17,16742,"{15564,15565,16649,16650,16725,16742}"
151,r5R,"{mouse,NP,H,PMH,r5,r5R}",70C0FF,5,11727,r5 roof plate,1827,17,17222,"{15564,15565,16808,17220,17221,17222}"
152,PHyB,"{mouse,NP,F,SP,CSP,PHy,PHyB}",B25B46,6,10612,basal peduncular hypothalamus,712,17,16247,"{15564,15565,15566,15567,15738,16211,16247}"
153,r10B,"{mouse,NP,H,MH,r10,r10B}",74AE99,5,12181,r10 basal plate,2281,17,17562,"{15564,15565,16808,17352,17538,17562}"
154,r10R,"{mouse,NP,H,MH,r10,r10R}",ABE2CE,5,12146,r10 roof plate,2246,17,17539,"{15564,15565,16808,17352,17538,17539}"
155,m1A,"{mouse,NP,M,m1,MTt,m1A}",17B317,5,11044,alar plate of m1,1144,17,16658,"{15564,15565,16649,16650,16651,16658}"
156,r2A,"{mouse,NP,H,PPH,r2,r2A}",EE80FF,5,11465,r2 alar plate,1565,17,17025,"{15564,15565,16808,16809,17023,17025}"
157,r1A,"{mouse,NP,H,PPH,r1,r1A}",EE5DFF,5,11335,r1 alar plate,1435,17,16919,"{15564,15565,16808,16809,16915,16919}"
159,p2R,"{mouse,NP,F,D,p2,Th,p2R}",FEF3A8,6,10746,roof plate of p2 (epithalamic roofplate),846,17,16377,"{15564,15565,15566,16308,16375,16376,16377}"
162,p1F,"{mouse,NP,F,D,p1,PtTg,p1F}",B3A019,6,11024,floor plate of p1,1124,17,16641,"{15564,15565,15566,16308,16509,16623,16641}"
163,r11A,"{mouse,NP,H,MH,r11,r11A}",BFD9BF,5,12224,r11 alar plate,2324,17,17598,"{15564,15565,16808,17352,17596,17598}"
