,acronym,atlas_id,color_hex_triplet,depth,failed,failed_facet,graph_id,graph_order,hemisphere_id,id,name,neuro_name_structure_id,neuro_name_structure_id_path,ontology_id,parent_structure_id,safe_name,sphinx_id,st_level,structure_id_path,structure_name_facet,weight
32,CSPall,,E58724,8,False,734881840,17,258,3,15818,central subpallium (classic basal ganglia),,,12,15751,central subpallium (classic basal ganglia),10158,7,/15564/15565/15566/15567/15738/15739/15750/15751/15818/,1089911860,8390
33,r9Tr,,75D9BF,6,False,734881840,17,2178,3,17485,r9 part of the trigeminal column,,,12,17478,r9 part of the trigeminal column,12078,7,/15564/15565/16808/17352/17476/17478/17485/,1569732539,8390
34,RtC,,FFF4A4,8,False,734881840,17,790,3,16323,reticular complex,,,12,16322,reticular complex,10690,7,/15564/15565/15566/16308/16309/16310/16313/16322/16323/,2520006337,8390
35,m1Lim,,17B317,7,False,734881840,17,1204,3,16717,liminal alar domain of m1,,,12,16716,liminal alar domain of m1,11104,7,/15564/15565/16649/16650/16651/16658/16716/16717/,3813732803,8390
36,r2BM,,CA6DD9,6,False,734881840,17,1637,3,17079,medial part of r2B,,,12,17053,medial part of r2B,11537,7,/15564/15565/16808/16809/17023/17053/17079/,610672205,8390
37,r6BM,,4A93CC,6,False,734881840,17,1981,3,17338,medial part of r6B,,,12,17318,medial part of r6B,11881,7,/15564/15565/16808/17220/17290/17318/17338/,1074453321,8390
38,r7BM,,0EAE94,6,False,734881840,17,2064,3,17400,medial part of r7B,,,12,17380,medial part of r7B,11964,7,/15564/15565/16808/17352/17353/17380/17400/,1494346248,8390
39,r5Ve,,37A7FF,6,False,734881840,17,1839,3,17229,r5 part of the vestibular column,,,12,17223,r5 part of the vestibular column,11739,7,/15564/15565/16808/17220/17221/17223/17229/,3328900119,8390
40,r8BI,,3FAE99,6,False,734881840,17,2132,3,17449,intermediate part of r8B,,,12,17437,intermediate part of r8B,12032,7,/15564/15565/16808/17352/17416/17437/17449/,1220254094,8390
41,r6Co,,5DB8FF,6,False,734881840,17,1922,3,17293,r6 part of the cochlear column,,,12,17292,r6 part of the cochlear column,11822,7,/15564/15565/16808/17220/17290/17292/17293/,3671933733,8390
42,isBL,,D332E6,6,False,734881840,17,1389,3,16877,lateral part of the isB,,,12,16876,lateral part of the isB,11289,7,/15564/15565/16808/16809/16810/16876/16877/,2814090362,8390
43,r4BM,,7E4FCC,6,False,734881840,17,1807,3,17207,medial part of r4B,,,12,17182,medial part of r4B,11707,7,/15564/15565/16808/17092/17156/17182/17207/,1916582347,8390
44,DPall,,F2193C,8,False,734881840,17,448,3,16001,dorsal pallium/isocortex,,,12,15903,dorsal pallium/isocortex,10348,7,/15564/15565/15566/15567/15738/15739/15750/15903/16001/,3317294730,8390
45,r4Lim,,9E63FF,6,False,734881840,17,1772,3,17176,liminal part of r4 alar plate,,,12,17158,liminal part of r4 alar plate,11672,7,/15564/15565/16808/17092/17156/17158/17176/,898231813,8390
46,p2Lim,,FFED64,8,False,734881840,17,951,3,16476,liminal part of alar p2,,,12,16466,liminal part of alar p2,10851,7,/15564/15565/15566/16308/16375/16376/16382/16466/16476/,4044959966,8390
47,p2ZL,,FFED64,8,False,734881840,17,942,3,16467,thalamic (p2) zona limitans domain,,,12,16466,thalamic (p2) zona limitans domain,10842,7,/15564/15565/15566/16308/16375/16376/16382/16466/16467/,2180403251,8390
48,r4Tr,,9E63FF,6,False,734881840,17,1763,3,17170,r4 part of trigeminal sensory column,,,12,17158,r4 part of trigeminal sensory column,11663,7,/15564/15565/16808/17092/17156/17158/17170/,1761678174,8390
49,SpBM,,D4CCC0,4,False,734881840,17,2475,3,17725,medial part of SpB,,,12,17692,medial part of SpB,12375,7,/15564/15565/17651/17692/17725/,3752206109,8390
50,ZIC,,FFF4A4,8,False,734881840,17,812,3,16343,zona incerta complex,,,12,16332,zona incerta complex,10712,7,/15564/15565/15566/16308/16309/16310/16313/16332/16343/,1999888739,8390
51,CoPV,,FFE524,8,False,734881840,17,1083,3,16602,ventral part of CoP,,,12,16578,ventral part of CoP,10983,7,/15564/15565/15566/16308/16509/16510/16519/16578/16602/,2064175749,8390
52,r10BI,,74AE99,6,False,734881840,17,2292,3,17571,intermediate part of r10B,,,12,17562,intermediate part of r10B,12192,7,/15564/15565/16808/17352/17538/17562/17571/,1379990132,8390
53,SpAV,,EBE3D5,4,False,734881840,17,2425,3,17677,ventral (liminal) part of the spinal alar plate,,,12,17653,ventral (liminal) part of the spinal alar plate,12325,7,/15564/15565/17651/17653/17677/,3471907017,8390
54,PaSe,,F37321,8,False,734881840,17,224,3,15784,paraseptal subpallium,,,12,15751,paraseptal subpallium,10124,7,/15564/15565/15566/15567/15738/15739/15750/15751/15784/,3480912495,8390
55,SeSPall,,FAA41A,8,False,734881840,17,192,3,15752,subpallial septum,,,12,15751,subpallial septum,10092,7,/15564/15565/15566/15567/15738/15739/15750/15751/15752/,1411459838,8390
56,Hb,,FFED64,8,False,734881840,17,855,3,16384,habenula (old epithalamus),,,12,16383,habenula (old epithalamus),10755,7,/15564/15565/15566/16308/16375/16376/16382/16383/16384/,187389680,8390
57,PBC,,EA37FF,7,False,734881840,17,1353,3,16844,parabrachial complex,,,12,16843,parabrachial complex,11253,7,/15564/15565/16808/16809/16810/16813/16843/16844/,3228418973,8390
58,SpBL,,D4CCC0,4,False,734881840,17,2443,3,17693,lateral part of SpB,,,12,17692,lateral part of SpB,12343,7,/15564/15565/17651/17692/17693/,1358958704,8390
59,r10BL,,74AE99,6,False,734881840,17,2284,3,17563,lateral part of r10B,,,12,17562,lateral part of r10B,12184,7,/15564/15565/16808/17352/17538/17562/17563/,1851493061,8390
60,r3BL,,7635CC,6,False,734881840,17,1700,3,17124,lateral part of r3B,,,12,17123,lateral part of r3B,11600,7,/15564/15565/16808/17092/17093/17123/17124/,3017482337,8390
61,r8Lim,,4FD9BF,6,False,734881840,17,2108,3,17431,liminal part of the r8 alar plate,,,12,17418,liminal part of the r8 alar plate,12008,7,/15564/15565/16808/17352/17416/17418/17431/,2898147457,8390
62,r9Lim,,75D9BF,6,False,734881840,17,2190,3,17494,liminal part of the r9 alar plate,,,12,17478,liminal part of the r9 alar plate,12090,7,/15564/15565/16808/17352/17476/17478/17494/,924546286,8390
63,r5BM,,2C86CC,6,False,734881840,17,1897,3,17275,medial part of r5B,,,12,17250,medial part of r5B,11797,7,/15564/15565/16808/17220/17221/17250/17275/,1797752970,8390
64,r7BI,,0EAE94,6,False,734881840,17,2054,3,17390,intermediate part of r7B,,,12,17380,intermediate part of r7B,11954,7,/15564/15565/16808/17352/17353/17380/17390/,3475211585,8390
65,r7Tr,,12D9B9,6,False,734881840,17,2022,3,17366,r7 part of the trigeminal column,,,12,17355,r7 part of the trigeminal column,11922,7,/15564/15565/16808/17352/17353/17355/17366/,218039253,8390
66,r11BM,,89AE99,6,False,734881840,17,2377,3,17638,medial part of r11B,,,12,17620,medial part of r11B,12277,7,/15564/15565/16808/17352/17596/17620/17638/,1154285678,8390
67,r9BM,,5EAE99,6,False,734881840,17,2225,3,17523,medial part of r9B,,,12,17500,medial part of r9B,12125,7,/15564/15565/16808/17352/17476/17500/17523/,3348285318,8390
68,r1Tr,,EE5DFF,6,False,734881840,17,1476,3,16954,r1 part of trigeminal sensory column,,,12,16919,r1 part of trigeminal sensory column,11376,7,/15564/15565/16808/16809/16915/16919/16954/,772101940,8390
69,r11BI,,89AE99,6,False,734881840,17,2368,3,17629,intermediate part of r11B,,,12,17620,intermediate part of r11B,12268,7,/15564/15565/16808/17352/17596/17620/17629/,1264306997,8390
70,r10Lim,,91D9BF,6,False,734881840,17,2271,3,17556,liminal part of the r10 alar plate,,,12,17540,liminal part of the r10 alar plate,12171,7,/15564/15565/16808/17352/17538/17540/17556/,3113032828,8390
71,r10BM,,74AE99,6,False,734881840,17,2302,3,17581,medial part of r10B,,,12,17562,medial part of r10B,12202,7,/15564/15565/16808/17352/17538/17562/17581/,1574318383,8390
72,Ist,,EA37FF,7,False,734881840,17,1363,3,16854,isthmus proper,,,12,16843,isthmus proper,11263,7,/15564/15565/16808/16809/16810/16813/16843/16854/,1394592830,8390
73,TG,,17B317,7,False,734881840,17,1155,3,16669,tectal gray formation,,,12,16668,tectal gray formation,11055,7,/15564/15565/16649/16650/16651/16658/16668/16669/,2071309894,8390
74,r1BM,,BE4ACC,6,False,734881840,17,1527,3,16994,medial part of r1B,,,12,16967,medial part of r1B,11427,7,/15564/15565/16808/16809/16915/16967/16994/,256593294,8390
75,r3Co,,9442FF,6,False,734881840,17,1661,3,17096,r3 part of cochlear sensory column,,,12,17095,r3 part of cochlear sensory column,11561,7,/15564/15565/16808/17092/17093/17095/17096/,3306647509,8390
76,r2Ve,,EE80FF,6,False,734881840,17,1576,3,17031,r2 part of vestibular sensory column,,,12,17025,r2 part of vestibular sensory column,11476,7,/15564/15565/16808/16809/17023/17025/17031/,2088698767,8390
77,r3Lim,,9442FF,6,False,734881840,17,1687,3,17113,liminal part of r3 alar plate,,,12,17095,liminal part of r3 alar plate,11587,7,/15564/15565/16808/17092/17093/17095/17113/,1091635082,8390
78,ITTh,,FFED64,8,False,734881840,17,910,3,16437,intermediate tier of thalamus,,,12,16395,intermediate tier of thalamus,10810,7,/15564/15565/15566/16308/16375/16376/16382/16395/16437/,564404873,8390
79,r4BI,,7E4FCC,6,False,734881840,17,1796,3,17196,intermediate part of r4B,,,12,17182,intermediate part of r4B,11696,7,/15564/15565/16808/17092/17156/17182/17196/,3826177666,8390
80,PThE,,FFF4A4,8,False,734881840,17,782,3,16315,prethalamic eminence,,,12,16314,prethalamic eminence,10682,7,/15564/15565/15566/16308/16309/16310/16313/16314/16315/,2136282626,8390
81,PcPD,,F4E35F,8,False,734881840,17,998,3,16521,dorsal part of PcP,,,12,16520,dorsal part of PcP,10898,7,/15564/15565/15566/16308/16509/16510/16519/16520/16521/,323150601,8390
82,r10Tr,,91D9BF,6,False,734881840,17,2259,3,17547,r10 part of the trigeminal column,,,12,17540,r10 part of the trigeminal column,12159,7,/15564/15565/16808/17352/17538/17540/17547/,4131611874,8390
83,r8BL,,3FAE99,6,False,734881840,17,2121,3,17438,lateral part of r8B,,,12,17437,lateral part of r8B,12021,7,/15564/15565/16808/17352/17416/17437/17438/,1345321386,8390
84,r6BL,,4A93CC,6,False,734881840,17,1962,3,17319,lateral part of r6B,,,12,17318,lateral part of r6B,11862,7,/15564/15565/16808/17220/17290/17318/17319/,3467432996,8390
85,JcPV,,FFE524,8,False,734881840,17,1048,3,16569,ventral part of JcP,,,12,16548,ventral part of JcP,10948,7,/15564/15565/15566/16308/16509/16510/16519/16548/16569/,3630999046,8390
86,r2BL,,D673E6,6,False,734881840,17,1610,3,17054,lateral part of r2B,,,12,17053,lateral part of r2B,11510,7,/15564/15565/16808/16809/17023/17053/17054/,2864714016,8390
87,ASPall,,E6A723,8,False,734881840,17,312,3,15867,subpallial amygdala,,,12,15751,subpallial amygdala,10212,7,/15564/15565/15566/15567/15738/15739/15750/15751/15867/,253836139,8390
88,r1Lim,,EE5DFF,6,False,734881840,17,1484,3,16959,liminal part of alar r1,,,12,16919,liminal part of alar r1,11384,7,/15564/15565/16808/16809/16915/16919/16959/,1512440806,8390
89,r11Ve,,BFD9BF,6,False,734881840,17,2327,3,17599,r11 part of the vestibular column,,,12,17598,r11 part of the vestibular column,12227,7,/15564/15565/16808/17352/17596/17598/17599/,805216851,8390
90,DTTh,,FFED64,8,False,734881840,17,869,3,16396,dorsal tier of thalamus,,,12,16395,dorsal tier of thalamus,10769,7,/15564/15565/15566/16308/16375/16376/16382/16395/16396/,287685061,8390
91,r9BI,,5EAE99,6,False,734881840,17,2214,3,17512,intermediate part of r9B,,,12,17500,intermediate part of r9B,12114,7,/15564/15565/16808/17352/17476/17500/17512/,1369483471,8390
92,r6Lim,,5DB8FF,6,False,734881840,17,1949,3,17311,liminal part of the r6 alar plate,,,12,17292,liminal part of the r6 alar plate,11849,7,/15564/15565/16808/17220/17290/17292/17311/,1167059871,8390
93,PcPL,,FFE524,8,False,734881840,17,1007,3,16530,lateral part of PcP,,,12,16520,lateral part of PcP,10907,7,/15564/15565/15566/16308/16509/16510/16519/16520/16530/,3239091955,8390
94,r1Ve,,EE5DFF,6,False,734881840,17,1468,3,16950,r1 part of vestibular sensory column,,,12,16919,r1 part of vestibular sensory column,11368,7,/15564/15565/16808/16809/16915/16919/16950/,4155260310,8390
95,SpAM,,EBE3D5,4,False,734881840,17,2402,3,17654,medial (cornucommissural) part of the spinal alar plate,,,12,17653,medial (cornucommissural) part of the spinal alar plate,12302,7,/15564/15565/17651/17653/17654/,3523713761,8390
96,r6Ve,,5DB8FF,6,False,734881840,17,1930,3,17298,r6 part of the vestibular column,,,12,17292,r6 part of the vestibular column,11830,7,/15564/15565/16808/17220/17290/17292/17298/,3577922916,8390
97,CbV,,EA37FF,6,False,734881840,17,1318,3,16814,cerebellar vermis,,,12,16813,cerebellar vermis,11218,7,/15564/15565/16808/16809/16810/16813/16814/,1494507432,8390
98,r5BI,,2C86CC,6,False,734881840,17,1888,3,17266,intermediate part of r5B,,,12,17250,intermediate part of r5B,11788,7,/15564/15565/16808/17220/17221/17250/17266/,4246071235,8390
99,r8Tr,,4FD9BF,6,False,734881840,17,2098,3,17424,r8 part of the trigeminal column,,,12,17418,r8 part of the trigeminal column,11998,7,/15564/15565/16808/17352/17416/17418/17424/,1400364906,8390
100,r4Ve,,9E63FF,6,False,734881840,17,1754,3,17164,r4 part of vestibular sensory column,,,12,17158,r4 part of vestibular sensory column,11654,7,/15564/15565/16808/17092/17156/17158/17164/,2963831292,8390
101,SC,,17B317,7,False,734881840,17,1164,3,16678,colliculus superior,,,12,16668,colliculus superior,11064,7,/15564/15565/16649/16650/16651/16658/16668/16678/,961605624,8390
102,VTTh,,FFED64,8,False,734881840,17,926,3,16453,ventral tier of thalamus,,,12,16395,ventral tier of thalamus,10826,7,/15564/15565/15566/16308/16375/16376/16382/16395/16453/,3357134487,8390
103,r6Tr,,5DB8FF,6,False,734881840,17,1939,3,17304,r6 part of the trigeminal column,,,12,17292,r6 part of the trigeminal column,11839,7,/15564/15565/16808/17220/17290/17292/17304/,35187460,8390
104,p3ZL,,FFF4A4,8,False,734881840,17,802,3,16333,prethalamic (p3) zona limitans domain,,,12,16332,prethalamic (p3) zona limitans domain,10702,7,/15564/15565/15566/16308/16309/16310/16313/16332/16333/,2353817974,8390
105,JcPD,,FFE524,8,False,734881840,17,1028,3,16549,dorsal part of JcP,,,12,16548,dorsal part of JcP,10928,7,/15564/15565/15566/16308/16509/16510/16519/16548/16549/,49530287,8390
106,CoPL,,FFE524,8,False,734881840,17,1072,3,16591,lateral part of CoP,,,12,16578,lateral part of CoP,10972,7,/15564/15565/15566/16308/16509/16510/16519/16578/16591/,1942342870,8390
107,r1BL,,BE4ACC,6,False,734881840,17,1498,3,16968,lateral part of r1B,,,12,16967,lateral part of r1B,11398,7,/15564/15565/16808/16809/16915/16967/16968/,2179810019,8390
108,r2Tr,,EE80FF,6,False,734881840,17,1584,3,17036,r2 part of trigeminal sensory column,,,12,17025,r2 part of trigeminal sensory column,11484,7,/15564/15565/16808/16809/17023/17025/17036/,2782292269,8390
109,r11Lim,,BFD9BF,6,False,734881840,17,2346,3,17612,liminal part of the r11 alar plate,,,12,17598,liminal part of the r11 alar plate,12246,7,/15564/15565/16808/17352/17596/17598/17612/,573067283,8390
110,r7Lim,,12D9B9,6,False,734881840,17,2032,3,17373,liminal part of the r7 alar plate,,,12,17355,liminal part of the r7 alar plate,11932,7,/15564/15565/16808/17352/17353/17355/17373/,3727337456,8390
111,r2Lim,,EE80FF,6,False,734881840,17,1593,3,17042,liminal part of r2 alar plate,,,12,17025,liminal part of r2 alar plate,11493,7,/15564/15565/16808/16809/17023/17025/17042/,3669248997,8390
112,r7Ve,,12D9B9,6,False,734881840,17,2014,3,17361,r7 part of the vestibular column,,,12,17355,r7 part of the vestibular column,11914,7,/15564/15565/16808/17352/17353/17355/17361/,3685035445,8390
113,r3Tr,,9442FF,6,False,734881840,17,1678,3,17107,r3 part of trigeminal sensory column,,,12,17095,r3 part of trigeminal sensory column,11578,7,/15564/15565/16808/17092/17093/17095/17107/,1783135973,8390
114,r11Tr,,BFD9BF,6,False,734881840,17,2334,3,17603,r11 part of the trigeminal column,,,12,17598,r11 part of the trigeminal column,12234,7,/15564/15565/16808/17352/17596/17598/17603/,4171533363,8390
115,r3Ve,,9442FF,6,False,734881840,17,1669,3,17101,r3 part of vestibular sensory column,,,12,17095,r3 part of vestibular sensory column,11569,7,/15564/15565/16808/17092/17093/17095/17101/,3017872455,8390
116,r3BI,,7635CC,6,False,734881840,17,1712,3,17132,intermediate part of r3B,,,12,17123,intermediate part of r3B,11612,7,/15564/15565/16808/17092/17093/17123/17132/,2874097733,8390
117,r3BM,,7635CC,6,False,734881840,17,1723,3,17143,medial part of r3B,,,12,17123,medial part of r3B,11623,7,/15564/15565/16808/17092/17093/17123/17143/,1031614220,8390
118,r2Co,,EE80FF,6,False,734881840,17,1568,3,17026,r2 part of cochlear sensory column,,,12,17025,r2 part of cochlear sensory column,11468,7,/15564/15565/16808/16809/17023/17025/17026/,4091936550,8390
119,MPall,,FF4865,8,False,734881840,17,566,3,16114,medial pallium (hippocampal allocortex),,,12,15903,medial pallium (hippocampal allocortex),10466,7,/15564/15565/15566/15567/15738/15739/15750/15903/16114/,573998376,8390
120,JcPL,,FFE524,8,False,734881840,17,1038,3,16559,lateral part of JcP,,,12,16548,lateral part of JcP,10938,7,/15564/15565/15566/16308/16509/16510/16519/16548/16559/,3500259413,8390
