,acronym,atlas_id,color_hex_triplet,depth,failed,failed_facet,graph_id,graph_order,hemisphere_id,id,name,neuro_name_structure_id,neuro_name_structure_id_path,ontology_id,parent_structure_id,safe_name,sphinx_id,st_level,structure_id_path,structure_name_facet,weight
0,r8Ve,,4FD9BF,6,False,734881840,17,2090,3,17419,r8 part of the vestibular column,,,12,17418,r8 part of the vestibular column,11990,7,/15564/15565/16808/17352/17416/17418/17419/,2217603338,8390
1,r9Ve,,75D9BF,6,False,734881840,17,2169,3,17479,r9 part of the vestibular column,,,12,17478,r9 part of the vestibular column,12069,7,/15564/15565/16808/17352/17476/17478/17479/,2328500699,8390
2,isBM,,BB2CCC,7,False,734881840,17,1409,3,16897,medial part of the isB,,,12,16877,medial part of the isB,11309,7,/15564/15565/16808/16809/16810/16876/16877/16897/,2549498321,8390
3,r11BL,,89AE99,6,False,734881840,17,2360,3,17621,lateral part of r11B,,,12,17620,lateral part of r11B,12260,7,/15564/15565/16808/17352/17596/17620/17621/,2000731012,8390
4,isLim,,EA37FF,7,False,734881840,17,1374,3,16865,liminal part of alar isthmus,,,12,16864,liminal part of alar isthmus,11274,7,/15564/15565/16808/16809/16810/16813/16864/16865/,22407926,8390
5,r10Ve,,91D9BF,6,False,734881840,17,2250,3,17541,r10 part of the vestibular column,,,12,17540,r10 part of the vestibular column,12150,7,/15564/15565/16808/17352/17538/17540/17541/,555305602,8390
6,CbH,,F284FF,6,False,734881840,17,1438,3,16920,cerebellar hemisphere,,,12,16919,cerebellar hemisphere,11338,7,/15564/15565/16808/16809/16915/16919/16920/,4016245784,8390
7,isBI,,BB2CCC,7,False,734881840,17,1399,3,16887,intermediate part of isB,,,12,16877,intermediate part of isB,11299,7,/15564/15565/16808/16809/16810/16876/16877/16887/,1262830545,8390
8,r4Co,,9E63FF,6,False,734881840,17,1746,3,17159,r4 part of cochlear sensory column,,,12,17158,r4 part of cochlear sensory column,11646,7,/15564/15565/16808/17092/17156/17158/17159/,1170906380,8390
9,r5Tr,,37A7FF,6,False,734881840,17,1848,3,17235,r5 part of the trigeminal column,,,12,17223,r5 part of the trigeminal column,11748,7,/15564/15565/16808/17220/17221/17223/17235/,288412279,8390
10,PcPV,,FFE524,8,False,734881840,17,1016,3,16539,ventral part of PcP,,,12,16520,ventral part of PcP,10916,7,/15564/15565/15566/16308/16509/16510/16519/16520/16539/,3386736800,8390
11,r7BL,,0EAE94,6,False,734881840,17,2045,3,17381,lateral part of r7B,,,12,17380,lateral part of r7B,11945,7,/15564/15565/16808/17352/17353/17380/17381/,3619153253,8390
12,r9BL,,5EAE99,6,False,734881840,17,2203,3,17501,lateral part of r9B,,,12,17500,lateral part of r9B,12103,7,/15564/15565/16808/17352/17476/17500/17501/,1228196075,8390
13,SpAL,,EBE3D5,4,False,734881840,17,2414,3,17666,lateral (dorsal horn) part of the spinal alar plate,,,12,17653,lateral (dorsal horn) part of the spinal alar plate,12314,7,/15564/15565/17651/17653/17666/,272319468,8390
14,m2Lim,,00D100,7,False,734881840,17,1276,3,16781,liminal alar domain of m2,,,12,16780,liminal alar domain of m2,11176,7,/15564/15565/16649/16751/16752/16754/16780/16781/,2052694137,8390
15,SePall,,C87C2C,8,False,734881840,17,663,3,16198,pallial septum,,,12,15903,pallial septum,10563,7,/15564/15565/15566/15567/15738/15739/15750/15903/16198/,886877454,8390
16,r6BI,,4A93CC,6,False,734881840,17,1971,3,17328,intermediate part of r6B,,,12,17318,intermediate part of r6B,11871,7,/15564/15565/16808/17220/17290/17318/17328/,3594040320,8390
17,VPall,,DA4335,8,False,734881840,17,351,3,15904,ventral pallium,,,12,15903,ventral pallium,10251,7,/15564/15565/15566/15567/15738/15739/15750/15903/15904/,3618089688,8390
18,r8BM,,3FAE99,6,False,734881840,17,2143,3,17460,medial part of r8B,,,12,17437,medial part of r8B,12043,7,/15564/15565/16808/17352/17416/17437/17460/,3733583559,8390
19,RMa,,B25B46,8,False,734881840,17,760,3,16295,retromammillary area,,,12,16294,retromammillary area,10660,7,/15564/15565/15566/15567/15738/16211/16247/16294/16295/,3965916707,8390
20,IC,,17B317,7,False,734881840,17,1178,3,16692,inferior colliculus,,,12,16668,inferior colliculus,11078,7,/15564/15565/16649/16650/16651/16658/16668/16692/,3901677296,8390
21,r2BI,,CA6DD9,6,False,734881840,17,1623,3,17066,intermediate part of r2B,,,12,17053,intermediate part of r2B,11523,7,/15564/15565/16808/16809/17023/17053/17066/,2991878404,8390
22,LPall,,E76E3E,8,False,734881840,17,403,3,15956,lateral pallium,,,12,15903,lateral pallium,10303,7,/15564/15565/15566/15567/15738/15739/15750/15903/15956/,4102268661,8390
23,r5Lim,,37A7FF,6,False,734881840,17,1858,3,17242,liminal part of the r5 alar plate,,,12,17223,liminal part of the r5 alar plate,11758,7,/15564/15565/16808/17220/17221/17223/17242/,839989615,8390
24,r5BL,,2C86CC,6,False,734881840,17,1872,3,17251,lateral part of r5B,,,12,17250,lateral part of r5B,11772,7,/15564/15565/16808/17220/17221/17250/17251/,3850471399,8390
25,CoPD,,FFE524,8,False,734881840,17,1060,3,16579,dorsal part of CoP,,,12,16578,dorsal part of CoP,10960,7,/15564/15565/15566/16308/16509/16510/16519/16578/16579/,2711073068,8390
26,r4BL,,7E4FCC,6,False,734881840,17,1784,3,17183,lateral part of r4B,,,12,17182,lateral part of r4B,11684,7,/15564/15565/16808/17092/17156/17182/17183/,4237997734,8390
27,r5Co,,37A7FF,6,False,734881840,17,1831,3,17224,r5 part of the cochlear column,,,12,17223,r5 part of the cochlear column,11731,7,/15564/15565/16808/17220/17221/17223/17224/,2144675913,8390
28,SpBI,,D4CCC0,4,False,734881840,17,2460,3,17710,intermediate part of SpB,,,12,17692,intermediate part of SpB,12360,7,/15564/15565/17651/17692/17710/,1234464852,8390
29,r7Co,,12D9B9,6,False,734881840,17,2006,3,17356,r7 part of cochlear column,,,12,17355,r7 part of cochlear column,11906,7,/15564/15565/16808/17352/17353/17355/17356/,3056890330,8390
30,r1BI,,BE4ACC,6,False,734881840,17,1515,3,16984,intermediate part of r1B,,,12,16967,intermediate part of r1B,11415,7,/15564/15565/16808/16809/16915/16967/16984/,2574852807,8390
31,p1Lim,,FFE524,8,False,734881840,17,1096,3,16613,liminal part of alar p1,,,12,16612,liminal part of alar p1,10996,7,/15564/15565/15566/16308/16509/16510/16519/16612/16613/,1745903972,8390
