POR
LTerv
LTers
PO1v
PO1p
PO1i
PO1s
PO2v
PO2p
PO2i
PO2s
POHv
POHp
POHi
POHs
THyA
TPaAv
TPaAp
TPaAi
TPaAs
TSPaAv
TSPaAp
TSPaAi
TSPaAs
THyB
THyB-Dv
THyB-Dp
THyB-Di
THyB-Ds
THyB-Iv
THyB-Ip
THyB-Ii
THyB-Is
THyB-Vv
THyB-Vi
THyB-Vs
THyB-Pv
THyB-Pi
THyB-Ps
Mamv
Mamm
TelR
CSComv
CSComs
TelA
DgSev
DgSep
DgSei
DgSes
PalSev
PalSep
PalSei
PalSes
StrSev
StrSep
StrSei
StrSes
SeDgv
SeDgp
SeDgi
SeDgs
SePalv
SePalp
SePali
SePals
SeStrv
SeStrp
SeStri
SeStrs
Dgv
Dgp
Dgi
Dgs
Palv
Palp
Pali
Pals
Strv
Strp
Stri
Strs
AStrv
AStrp
AStri
AStrs
OBv
OBp
OBi
OBs
AOVv
AOVp
AOVi
AOVs
VPrPv
VPrPp
VPrPi
VPrPs
VAPv
VAPp
VAPi
VAPs
AODv
AODp
AODi
AODs
LPrPv
LPrPp
LPrPi
LPrPs
SePallv
SePallp
SePalli
SePalls
TelHv
TelHp
TelHi
TelHs
PHyA
PPav
PPap
PPai
PPas
PSPap
PSPai
PSPas
PHyB-Di
PHyB-Ii
PHyB-Vi
PHyB-Pi
RMav
RMam
PHyF
p3R
p3A
PThEv
PThEp
PThEi
PThEs
RtCv
RtCp
RtCi
RtCs
p3ZLv
p3ZLp
p3ZLi
p3ZLs
ZICv
ZICp
ZICi
ZICs
p3B
p3Bv
p3Bp
p3Bi
p3Bs
p3Fv
p3Fp
p3Fi
p3Fs
p2R
p2A
Hbv
Hbp
Hbi
Hbs
DTThv
DTThp
DTThi
DTThs
ITThp
ITThi
ITThs
VTThp
VTThi
VTThs
p2ZLp
p2ZLi
p2ZLs
p2Limp
p2Limi
p2Lims
p2B
p2Bv
p2Bp
p2Bi
p2Bs
p2Fp
p2Fi
p2Fs
PComv
PComs
PcPDv
PcPDp
PcPDi
PcPDs
PcPLv
PcPLp
PcPLi
PcPLs
PcPVv
PcPVp
PcPVi
PcPVs
JcPDv
JcPDp
JcPDi
JcPDs
JcPLp
JcPLi
JcPLs
JcPVp
JcPVi
JcPVs
CoPDv
CoPDp
CoPDi
CoPDs
CoPLp
CoPLi
CoPLs
CoPVp
CoPVi
CoPVs
p1Limv
p1Limp
p1Limi
p1Lims
p1Bv
p1Bp
p1Bi
p1Bs
p1Fv
p1Fp
p1Fi
p1Fs
m1Rv
m1A
m1ADv
m1ADs
TGv
TGp
TGi
TGs
SCv
SCp
SCi
SCs
ICv
ICp
ICi
ICs
m1Limv
m1Limp
m1Limi
m1Lims
m1Bv
m1Bp
m1Bi
m1Bs
