,0
631,16443
632,16440
633,16433
634,16409
635,16399
636,16073
637,16074
638,16562
639,15775
640,16610
641,16393
642,16390
643,16387
644,16087
645,16088
646,15768
647,15770
648,15773
649,15777
650,15781
651,15783
652,15788
653,15792
654,15795
655,15800
656,15803
657,15806
658,15812
659,15814
660,15816
661,15822
662,15828
663,15831
664,15837
665,15842
666,15845
667,15854
668,15856
669,15861
670,15871
671,15873
672,15877
673,15881
674,15883
675,15885
676,15889
677,15891
678,15892
679,15896
680,15897
681,15898
682,16573
683,15908
684,15911
685,15914
686,15920
687,15921
688,15922
689,15931
690,15932
691,15936
692,15943
693,15946
694,15949
695,16575
696,15960
697,15963
698,15966
699,15972
700,15973
701,15974
702,15982
703,15983
704,15985
705,15992
706,15993
707,15997
708,16005
709,16006
710,16007
711,16019
712,16020
713,16021
714,16033
715,16034
716,16035
717,16047
718,16048
719,16049
720,16061
721,16062
722,16063
723,16075
724,16076
725,16077
726,16100
727,16101
728,16105
729,16106
730,16107
731,16577
732,16118
733,16119
734,16121
735,16127
736,16128
737,16130
738,16150
739,16151
740,16152
741,16157
742,16159
743,16161
744,16166
745,16167
746,16169
747,16175
748,16176
749,16177
750,16189
751,16190
752,16191
753,112892271
754,112892273
755,112892275
756,16204
757,15651
758,15650
759,16218
760,16219
761,16224
762,16241
763,16583
764,16585
765,16586
766,16266
767,16267
768,16587
769,16589
770,16590
771,16299
772,16300
773,16302
774,16304
775,16305
776,16320
777,16595
778,16327
779,16329
780,16331
781,16597
782,16598
783,16337
784,16339
785,16341
786,16342
787,16599
788,16347
789,16349
790,16601
791,15612
792,15611
793,15609
794,16606
795,16608
796,15604
797,16609
798,16388
799,16389
800,16391
801,16392
802,16394
803,15603
804,16611
805,15584
806,16400
807,16401
808,16402
809,16403
810,16404
811,16405
812,16406
813,16407
814,16408
815,16410
816,16411
817,16415
818,16419
819,16423
820,16434
821,16435
822,16436
823,16441
824,16442
825,16444
826,16445
827,16446
828,16447
829,16448
830,16449
831,16451
832,16452
833,16457
834,16459
835,16460
836,16462
837,16471
838,16473
839,16475
840,16480
841,16482
842,16484
843,16485
844,15598
845,16617
846,16619
847,15596
848,15595
849,15594
850,16622
851,15592
852,15591
853,15582
854,16525
855,16527
856,16529
857,16534
858,16536
859,16538
860,16543
861,16545
862,16547
863,15586
864,16553
865,16555
866,16556
867,15676
868,15677
869,15678
870,15679
871,16558
872,15695
873,15696
874,16563
875,15727
876,15729
877,15734
878,15735
879,15661
880,16565
881,16566
882,16568
883,15756
884,15759
885,15762
886,15862
887,16416
888,16417
889,16418
890,15860
891,16420
892,16421
893,16422
894,15859
895,16424
896,16425
897,16426
898,16427
899,16428
900,16429
901,16430
902,16431
903,16432
904,16069
905,15858
906,15857
907,15855
908,16068
909,16067
910,16066
911,16065
912,15850
913,15915
914,16136
915,16131
916,16123
917,16122
918,15764
919,16120
920,16113
921,16112
922,16111
923,15789
924,16110
925,15778
926,16109
927,15782
928,16108
929,15913
930,15607
931,15606
932,15605
933,15912
934,15910
935,16083
936,15909
937,15902
938,16082
939,15780
940,15901
941,16081
942,15900
943,15899
944,16080
945,15890
946,15884
947,16079
948,16078
949,15882
950,15876
951,15875
952,15874
953,15779
954,15772
955,15872
956,15866
957,16412
958,16413
959,16414
960,16064
961,15846
962,15844
963,15843
964,16055
965,16054
966,16053
967,15838
968,16052
969,15833
970,15832
971,16051
972,15830
973,16463
974,16464
975,16465
976,16050
977,16041
978,16040
979,16039
980,16038
981,15829
982,16037
983,15757
984,16036
985,15827
986,16027
987,16026
988,16025
989,16024
990,15758
991,16023
992,16022
993,15771
994,15730
995,16013
996,16012
997,16011
998,16010
999,16009
1000,15731
1001,16008
1002,16000
1003,15999
1004,15998
1005,15732
1006,15823
1007,15760
1008,15996
1009,15761
1010,15995
1011,15994
1012,15988
1013,15817
1014,15815
1015,15987
1016,15813
1017,15986
1018,15984
1019,15978
1020,15977
1021,15976
1022,15975
1023,15968
1024,15967
1025,15965
1026,15964
1027,15962
1028,15961
1029,15955
1030,15808
1031,15807
1032,15769
1033,15951
1034,15950
1035,15948
1036,15805
1037,15947
1038,15804
1039,15945
1040,15763
1041,15944
1042,15939
1043,15938
1044,15937
1045,15935
1046,16223
1047,16222
1048,16221
1049,16220
1050,112892279
1051,112892277
1052,16197
1053,15801
1054,16196
1055,16195
1056,15934
1057,16194
1058,16193
1059,16192
1060,15796
1061,15794
1062,15933
1063,16183
1064,16182
1065,15927
1066,15926
1067,16181
1068,16180
1069,16179
1070,15925
1071,16178
1072,15924
1073,16171
1074,15923
1075,15793
1076,15916
1077,16170
1078,16162
1079,16160
1080,16158
1081,16153
1082,16141
1083,15849
1084,16139
1085,15848
1086,15847
1087,16138
1088,16015
1089,16137
1090,15841
1091,16057
1092,15840
1093,15839
1094,16056
1095,16014
1096,16085
1097,111220574
1098,111220572
1099,16135
1100,16134
1101,16133
1102,15954
1103,16132
1104,15953
1105,16084
1106,15952
1107,15865
1108,16043
1109,16042
1110,15791
1111,16070
1112,15790
1113,16185
1114,15864
1115,16184
1116,16146
1117,16145
1118,16144
1119,16029
1120,16028
1121,16143
1122,16142
1123,15826
1124,15802
1125,15825
1126,15863
1127,16071
1128,15824
1129,16140
